1.10
lambda flux err
2539.655 3.514 0.564744
2540.045 3.54095 0.567443
2540.435 2.78255 0.548375
2540.826 1.59335 0.512264
2541.216 0.986674 0.49387
2541.606 0.953031 0.493105
2541.996 1.06244 0.496725
2542.387 0.819647 0.491583
2542.777 1.30286 0.505514
2543.167 1.12387 0.500533
2543.557 0.825622 0.492511
2543.948 0.612984 0.481375
2544.338 0.63855 0.485183
2544.728 0.858984 0.493058
2545.118 0.783263 0.488245
2545.509 0.528064 0.479675
2545.899 0.273468 0.475466
2546.289 1.22803 0.503003
2546.679 0.931429 0.495176
2547.07 -0.0208775 0.464735
2547.46 0.26739 0.469062
2547.85 0.816838 0.492258
2548.24 0.319138 0.473698
2548.631 0.520427 0.481187
2549.021 0.443769 0.480625
2549.411 0.884232 0.492321
2549.802 1.24755 0.502685
2550.192 0.14146 0.47
2550.582 1.29768 0.502813
2550.972 1.21427 0.503413
2551.363 1.19424 0.501973
2551.753 1.75298 0.51646
2552.143 2.07 0.526464
2552.533 2.33374 0.534193
2552.924 2.48576 0.540241
2553.314 2.64285 0.54281
2553.704 2.9852 0.55205
2554.094 3.33373 0.561837
2554.485 3.38048 0.564296
2554.875 3.11308 0.557055
2555.265 3.72119 0.573161
2555.656 4.2192 0.585398
2556.046 3.56155 0.568418
2556.436 4.08371 0.583685
2556.826 4.5604 0.592385
2557.217 4.79783 0.598678
2557.607 4.64146 0.598006
2557.997 4.50629 0.591852
2558.387 5.83834 0.624422
2558.778 6.22805 0.636672
2559.168 5.65199 0.62272
2559.558 5.26084 0.611533
2559.948 5.23154 0.611742
2560.339 5.24838 0.611504
2560.729 5.73144 0.623956
2561.119 6.54168 0.645725
2561.51 6.12914 0.635911
2561.9 6.18943 0.63753
2562.29 7.04783 0.656234
2562.68 5.92684 0.627276
2563.071 5.79328 0.629122
2563.461 6.78226 0.652638
2563.851 6.27879 0.636967
2564.241 6.37179 0.639997
2564.632 6.95343 0.654717
2565.022 7.15225 0.657852
2565.412 6.56379 0.645841
2565.802 6.18193 0.636127
2566.193 6.18465 0.631537
2566.583 5.22059 0.611894
2566.973 5.5983 0.621087
2567.364 6.12014 0.634891
2567.754 5.56909 0.619935
2568.144 6.16834 0.632946
2568.534 6.45008 0.642898
2568.925 6.14429 0.635007
2569.315 5.6271 0.622045
2569.705 5.68126 0.624938
2570.095 5.86385 0.62882
2570.486 5.80803 0.625777
2570.876 5.9393 0.630869
2571.266 5.95418 0.630853
2571.656 5.47987 0.62201
2572.047 5.5253 0.622592
2572.437 5.8716 0.630096
2572.827 5.37432 0.61955
2573.217 4.80572 0.604471
2573.608 5.18619 0.617286
2573.998 5.7638 0.628761
2574.388 5.44192 0.621857
2574.779 3.9495 0.582628
2575.169 3.37185 0.565733
2575.559 2.69077 0.550123
2575.949 3.2908 0.564878
2576.34 3.72309 0.577484
2576.73 3.62495 0.575434
2577.12 4.35838 0.59321
2577.51 5.42785 0.619388
2577.901 5.66894 0.626464
2578.291 5.43797 0.618729
2578.681 5.86866 0.631654
2579.071 5.93275 0.634448
2579.462 6.18645 0.640876
2579.852 5.32332 0.616837
2580.242 6.03205 0.634828
2580.632 6.22998 0.64285
2581.023 6.59474 0.651094
2581.413 6.37536 0.645441
2581.803 5.61447 0.62684
2582.193 5.34798 0.619395
