1.30
lambda flux err
2589.138001703635 0.525098 1.01994
2589.528300429136 1.28607 1.07481
2589.918599154637 3.12678 1.18761
2590.308897880138 2.58067 1.15654
2590.699196605639 2.64186 1.17892
2591.089495331139 3.08123 1.19993
2591.47979405664 2.96264 1.18543
2591.870092782141 2.03219 1.12644
2592.260391507641 1.9108 1.12398
2592.650690233143 1.99899 1.1276
2593.040988958643 3.00657 1.19271
2593.431287684144 0.975567 1.06414
2593.821586409645 1.02558 1.06183
2594.211885135146 1.81071 1.11193
2594.602183860647 1.57735 1.09849
2594.992482586148 2.56441 1.15502
2595.382781311648 4.03645 1.24288
2595.773080037149 3.90477 1.25366
2596.16337876265 3.60938 1.23697
2596.55367748815 3.39383 1.21364
2596.943976213651 3.72877 1.23964
2597.334274939152 2.84522 1.17339
2597.724573664653 3.63684 1.21677
2598.114872390154 2.53219 1.15596
2598.505171115654 1.19387 1.07541
2598.895469841155 1.30354 1.07295
2599.285768566656 0.471392 1.01469
2599.676067292157 0.322471 1.01427
2600.066366017658 0.64152 1.02084
2600.456664743159 2.26363 1.13792
2600.846963468659 2.9466 1.17748
2601.23726219416 1.57614 1.08531
2601.627560919661 1.38242 1.07511
2602.017859645162 2.08148 1.11529
2602.408158370663 2.64748 1.16629
2602.798457096163 3.97196 1.24194
2603.188755821664 3.61682 1.22588
2603.579054547164 3.03972 1.19571
2603.969353272665 3.30356 1.20608
2604.359651998167 3.57171 1.2168
2604.749950723667 3.06566 1.18193
2605.140249449168 2.86059 1.17475
2605.530548174669 3.40958 1.20138
2605.92084690017 3.02137 1.18141
2606.31114562567 3.96874 1.24453
2606.701444351171 2.40268 1.13952
2607.091743076672 2.55789 1.1548
2607.482041802173 2.72909 1.16639
2607.872340527673 2.61714 1.15738
2608.262639253174 3.9176 1.24967
2608.652937978676 3.76921 1.24372
2609.043236704176 3.22444 1.19854
2609.433535429677 4.68822 1.29365
2609.823834155177 3.07971 1.18829
2610.214132880678 2.77058 1.17084
2610.604431606179 3.68297 1.22844
2610.994730331681 2.93263 1.17986
2611.385029057181 1.24283 1.07333
2611.775327782682 2.49997 1.15202
2612.165626508182 2.62799 1.17546
2612.555925233683 2.15876 1.13878
2612.946223959184 3.64109 1.21383
2613.336522684684 3.06835 1.19554
2613.726821410186 3.07437 1.19899
2614.117120135686 2.44594 1.15484
2614.507418861187 2.35616 1.15716
2614.897717586688 2.09828 1.14303
2615.288016312188 1.46378 1.09057
2615.678315037689 1.45739 1.09709
2616.06861376319 2.57063 1.16625
2616.458912488692 3.73796 1.23057
2616.849211214192 3.34705 1.22054
2617.239509939693 3.02242 1.20412
2617.629808665193 2.62624 1.17223
2618.020107390694 1.55702 1.10179
2618.410406116195 2.0624 1.13729
2618.800704841696 2.94944 1.19212
2619.191003567197 0.944739 1.05429
2619.581302292697 0.494481 1.0334
2619.971601018198 1.70371 1.11432
2620.361899743699 2.58528 1.16806
2620.7521984692 3.31157 1.21781
2621.142497194701 3.13985 1.21349
2621.532795920201 3.45203 1.21792
2621.923094645703 3.98487 1.24853
2622.313393371203 2.51111 1.16683
2622.703692096704 2.91888 1.20095
2623.093990822205 3.29229 1.22334
2623.484289547705 2.4545 1.15014
2623.874588273206 2.13593 1.13467
2624.264886998707 2.39699 1.15776
2624.655185724207 3.20443 1.22271
2625.045484449708 4.30926 1.29272
2625.43578317521 2.48101 1.16961
2625.82608190071 1.90332 1.12452
2626.216380626211 1.59465 1.10508
2626.606679351712 1.50748 1.10274
2626.996978077212 1.97402 1.12425
2627.387276802714 2.73922 1.18366
2627.777575528215 2.42009 1.16351
2628.167874253715 3.42443 1.22944
2628.558172979216 4.06065 1.25829
2628.948471704716 2.29683 1.14362
2629.338770430217 0.856603 1.05328
2629.729069155718 1.69782 1.11658
2630.119367881219 2.30823 1.16283
2630.50966660672 3.69034 1.2435
2630.89996533222 4.07812 1.2675
2631.290264057721 3.55261 1.23471
2631.680562783222 1.96716 1.1365
2632.070861508723 1.59878 1.10976
2632.461160234224 2.88445 1.20047
2632.851458959725 1.37568 1.10329
2633.241757685226 0.340694 1.02351
2633.632056410726 2.8506 1.19227
2634.022355136227 3.44936 1.23052
2634.412653861727 3.49785 1.2303
2634.802952587229 3.12931 1.21749
2635.193251312729 2.9186 1.20623
2635.58355003823 1.53955 1.11618
2635.973848763731 1.12969 1.09155
2636.364147489231 1.28979 1.09493
2636.754446214733 2.48075 1.16793
2637.144744940233 1.65289 1.1232
2637.535043665734 0.751288 1.05712
2637.925342391235 2.133 1.14358
2638.315641116736 2.00057 1.14938
2638.705939842236 2.2627 1.16624
2639.096238567737 1.56994 1.12387
2639.486537293238 2.57621 1.19027
2639.876836018739 2.0372 1.14647
2640.26713474424 3.52884 1.23777
2640.65743346974 3.16806 1.23336
2641.047732195241 3.75648 1.27348
2641.438030920741 3.02438 1.21054
2641.828329646243 1.69358 1.1215
2642.218628371744 2.63898 1.19892
2642.608927097244 1.85825 1.13312
2642.999225822745 1.97735 1.14402
2643.389524548246 2.0839 1.16515
2643.779823273748 2.78803 1.21612
2644.170121999248 2.74985 1.21347
2644.560420724748 2.59815 1.19708
2644.950719450249 2.69374 1.19451
2645.34101817575 3.23868 1.22419
2645.73131690125 2.81665 1.206
2646.121615626752 2.93423 1.21475
2646.511914352253 3.82294 1.26326
2646.902213077753 3.29591 1.2341
2647.292511803254 3.17498 1.22752
2647.682810528754 2.01438 1.15731
2648.073109254255 2.28626 1.17964
2648.463407979756 4.74551 1.31495
2648.853706705258 3.22762 1.23053
2649.244005430759 3.20881 1.24499
2649.634304156259 2.31534 1.18136
2650.024602881759 3.05018 1.2252
2650.41490160726 3.71334 1.27056
2650.805200332761 2.62329 1.19059
2651.195499058262 1.67122 1.13945
2651.585797783763 1.3528 1.11256
2651.976096509263 3.01294 1.20939
2652.366395234764 2.67915 1.1993
2652.756693960265 1.54105 1.11997
2653.146992685766 0.436164 1.05505
2653.537291411267 1.24473 1.11631
2653.927590136767 1.83191 1.15159
2654.317888862269 1.45665 1.13181
2654.708187587769 1.58402 1.1339
2655.09848631327 3.05876 1.22524
2655.488785038771 3.40446 1.24371
2655.879083764272 4.33099 1.30433
2656.269382489772 2.63992 1.20026
2656.659681215273 2.65857 1.20221
2657.049979940774 3.61339 1.26542
2657.440278666274 3.39639 1.25943
2657.830577391775 3.13267 1.24029
2658.220876117276 2.3804 1.19266
2658.611174842777 2.388 1.18919
2659.001473568278 1.4545 1.12918
2659.391772293778 1.82656 1.16417
2659.782071019279 2.53788 1.21014
2660.17236974478 1.02595 1.10607
2660.562668470281 2.38257 1.19574
2660.952967195782 2.17369 1.18291
2661.343265921283 1.35595 1.12943
2661.733564646783 2.83763 1.21849
2662.123863372284 2.85752 1.22758
2662.514162097785 2.62217 1.2177
2662.904460823286 2.40492 1.1904
2663.294759548787 3.70714 1.28124
2663.685058274287 3.32286 1.25384
2664.075356999788 3.3785 1.2573
2664.465655725289 1.58996 1.15419
2664.85595445079 1.6463 1.14879
2665.246253176291 2.00686 1.16894
2665.636551901792 2.12667 1.19826
2666.026850627292 2.19058 1.20046
2666.417149352793 1.88375 1.16602
2666.807448078293 2.69207 1.21671
2667.197746803794 2.82029 1.22428
2667.588045529296 2.02772 1.17216
2667.978344254796 1.89943 1.17477
2668.368642980297 1.93224 1.17872
2668.758941705797 1.70879 1.16028
2669.149240431299 2.21232 1.19564
2669.539539156799 2.34225 1.2022
2669.9298378823 2.16474 1.19185
2670.320136607801 1.79785 1.17421
2670.710435333302 1.53608 1.16107
2671.100734058803 0.901487 1.11655
2671.491032784303 3.28574 1.25793
2671.881331509805 3.56243 1.27569
2672.271630235305 3.01525 1.24977
2672.661928960806 2.61906 1.22457
2673.052227686307 3.10935 1.2619
2673.442526411807 1.78267 1.15827
2673.832825137308 2.07944 1.17814
2674.223123862808 3.69247 1.29403
2674.61342258831 3.05709 1.25319
2675.00372131381 2.43403 1.20213
2675.394020039311 2.5384 1.23712
2675.784318764812 2.33349 1.21583
2676.174617490313 3.3307 1.2654
2676.564916215813 4.04947 1.31007
2676.955214941314 3.64421 1.27939
2677.345513666816 2.14092 1.18722
2677.735812392316 1.25002 1.12263
2678.126111117817 1.06894 1.11994
2678.516409843318 2.3162 1.20086
2678.906708568818 2.89086 1.23818
2679.297007294319 3.05745 1.25333
2679.68730601982 3.70634 1.28733
2680.07760474532 1.84741 1.18333
2680.467903470821 1.22474 1.14213
2680.858202196322 0.339484 1.0791
2681.248500921823 0.308498 1.06842
2681.638799647325 0.935926 1.11592
2682.029098372825 1.06677 1.13281
2682.419397098325 1.37509 1.15606
2682.809695823826 3.15326 1.26936
2683.199994549327 2.26507 1.21464
2683.590293274828 1.72451 1.17947
2683.980592000329 1.44116 1.15532
2684.37089072583 1.16319 1.14171
2684.76118945133 2.03504 1.19964
2685.151488176831 1.37847 1.15613
2685.541786902332 1.66 1.17968
2685.932085627832 2.66977 1.2521
2686.322384353333 0.688977 1.09441
2686.712683078835 0.0241579 1.05144
2687.102981804335 0.685164 1.11422
2687.493280529836 1.88263 1.1807
2687.883579255337 1.53767 1.15079
2688.273877980837 3.12155 1.26933
2688.664176706339 3.43712 1.28687
2689.054475431839 2.53296 1.22672
2689.44477415734 1.88752 1.19227
2689.835072882841 1.00615 1.1201
2690.225371608341 1.60006 1.16445
2690.615670333842 3.84647 1.31319
2691.005969059343 4.30124 1.35173
2691.396267784844 2.39774 1.21834
2691.786566510344 1.72473 1.17406
2692.176865235846 3.01187 1.26135
2692.567163961346 3.54999 1.29317
2692.957462686847 3.75746 1.30738
2693.347761412348 3.3011 1.28565
2693.738060137849 2.97437 1.25482
2694.12835886335 3.25558 1.28667
2694.51865758885 3.335 1.2907
2694.908956314351 2.44294 1.22815
2695.299255039852 2.69297 1.25676
2695.689553765353 2.88336 1.26445
2696.079852490853 3.78917 1.31058
2696.470151216354 2.25355 1.21522
2696.860449941855 3.13711 1.2861
2697.250748667356 2.85222 1.25703
2697.641047392856 1.22105 1.14695
2698.031346118358 3.84743 1.32149
2698.421644843858 4.57427 1.36692
2698.811943569359 2.66605 1.24894
2699.20224229486 2.6982 1.26301
2699.59254102036 3.58153 1.31856
2699.982839745861 3.60323 1.31186
2700.373138471363 2.2125 1.22697
2700.763437196863 1.37206 1.1686
2701.153735922364 2.44936 1.24302
2701.544034647865 3.6159 1.30448
2701.934333373365 3.45117 1.29933
2702.324632098866 3.40175 1.31011
2702.714930824367 1.74557 1.18971
2703.105229549868 2.30737 1.24202
2703.495528275369 2.73038 1.26324
2703.885827000869 2.80019 1.261
2704.27612572637 1.40553 1.16313
2704.66642445187 0.608119 1.12299
2705.056723177372 1.27363 1.15972
2705.447021902873 2.70814 1.2512
2705.837320628374 2.37788 1.23582
2706.227619353874 2.7388 1.25209
2706.617918079375 2.59269 1.25835
2707.008216804876 2.24875 1.23076
2707.398515530376 1.65432 1.20044
2707.788814255877 0.834253 1.12133
2708.179112981378 2.36107 1.22749
2708.569411706879 2.5378 1.24545
2708.95971043238 2.81275 1.26676
2709.35000915788 2.78006 1.26309
2709.740307883382 1.50328 1.18151
2710.130606608882 2.11433 1.23042
2710.520905334383 2.7052 1.27359
2710.911204059884 3.0078 1.29825
2711.301502785385 3.55243 1.33153
2711.691801510885 2.73753 1.27128
2712.082100236386 1.99876 1.23129
2712.472398961887 1.98996 1.23346
2712.862697687387 2.49324 1.25098
2713.252996412888 3.13151 1.31573
2713.643295138389 3.34047 1.32748
2714.03359386389 2.19753 1.251
2714.42389258939 0.828297 1.16043
2714.814191314891 2.26614 1.25159
